ID,Name,F0N,F0W,F1N,F1W,F2N,F2W,F3N,F3W,F4N,F4W,F5N,F5W,F6N,F6W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,F7W,F7N,XN
0x11,Heartbeat,Test Data 0,32,Test Data 1,16,TD2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x21,Battery(s),Checksum,8,Open Voltage,16,Internal Resistence,16,Instant Voltage,16,Cell ID,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x08850205,Motor,NULL,17,Motor Speed,12,FET Temp,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x10,Errors,NULL,34,Overheat Lvl,2,RFU,4,Hall sensor open,1,Hall sensor short,1,Motor lock,1,Motor sys error,1,RFU,2,Overcurrent,1,RFU,1,Overvolt error,1,RFU,1,Overcurrent Error,1,Power sys error,1,RFU,4,Ctrl voltage sensor erro,1,RFU,1,Accel Pos error,1,Motor current sensor adj error,1,Battery current sensor adjust,1,Battery current sensor error,1,bateery voltage sensor error,1,RFU,1,FET Thermistor error,1,Motor curent sensor W,1,Motor current sensor U,1,Analog sensor error,1
0x36,Cell,Cell ID,8,Instant Voltage,16,Internal Resistence,16,Open Voltage,16,Checksum,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6B2,Driver,Overtemp,1,ASDF,15,Precharge,1,ASDF,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x6B0,VCSOC,Current,16,Voltage,16,SoC,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5F0,Temp0,Max Temp,8,Avg Tmp,8,Mod 1,8,Mod 2,8,Mod 3,8,Mod 4,8,Mod 5,8,Mod 6,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5F1,Temp1,Mod 7,8,Mod 8,8,Mod 9,8,Mod 10,8,Mod 11,8,Mod 12,8,Mod 13,8,Mod 14,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5F2,Temp2,Mod 15,8,Mod 16,8,Mod 17,8,Mod 18,8,Mod 19,8,Mod 20,8,Mod 21,8,Mod 22,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x5F3,Temp3,Mod 23,8,Mod 24,8,Mod 25,8,Mod 26,8,Mod 27,8,Mod 28,8,Mod 29,8,Mod 30,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x711,MPPT REQ Sub,All,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x712,MPPT REQ Right,All,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x713,MPPT REQ Left,All,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x771,MPPT ANS Sub,Tamb,8,Vout,10,x,6,Iin,10,y,6,Vin,10,z,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x772,MPPT ANS Right,Tamb,8,Vout,10,x,6,Iin,10,y,6,Vin,10,z,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0x773,MPPT ANS Left,Tamb,8,Vout,10,x,6,Iin,10,y,6,Vin,10,z,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
